50 73
TreeStump.png 10 110
TreeStump.png 10 130
TreeStump.png 10 170
TreeStump.png 10 230
TreeStump.png 10 270
TreeStump.png 190 270
TreeStump.png 330 110
TreeStump.png 330 150
TreeStump.png 330 190
TreeStump.png 330 230
TreeStump.png 330 270
TreeStump.png 330 310
TreeStump.png 330 370
TreeStump.png 330 410
TreeStump.png 330 450
TreeStump.png 330 490
TreeStump.png 490 210
TreeStump.png 630 110
TreeStump.png 750 170
TreeStump.png 770 270
TreeStump.png 630 370
TreeStump.png 710 330
TreeStump.png 550 430
TreeStump.png 470 530
TreeStump.png 650 530
TreeStump.png 710 530
P1.png 24 24
P2.png 120 600
TreeStump.png 570 150
