50 63
TreeStump.png 110 530
TreeStump.png 150 430
TreeStump.png 250 530
TreeStump.png 330 490
TreeStump.png 250 450
TreeStump.png 450 530
TreeStump.png 450 410
TreeStump.png 70 450
TreeStump.png 610 430
TreeStump.png 590 530
TreeStump.png 730 450
TreeStump.png 570 330
TreeStump.png 690 290
TreeStump.png 690 370
TreeStump.png 510 470
TreeStump.png 330 370
TreeStump.png 370 430
TreeStump.png 370 550
HealingBeacon.png 690 290
HealingBeacon.png 696 280
HealingBeacon.png 680 376
HealingBeacon.png 728 440
HealingBeacon.png 616 424
HealingBeacon.png 568 328
HealingBeacon.png 456 408
HealingBeacon.png 504 472
HealingBeacon.png 584 536
HealingBeacon.png 456 536
HealingBeacon.png 376 552
HealingBeacon.png 328 488
HealingBeacon.png 376 424
HealingBeacon.png 328 376
HealingBeacon.png 248 456
HealingBeacon.png 248 520
HealingBeacon.png 104 536
HealingBeacon.png 152 424
HealingBeacon.png 72 456
