35 54
P1.png 24 72
P2.png 696 552
P3.png 72 504
P4.png 744 24
TNT.png 180 516
TNT.png 564 540
TNT.png 612 36
TNT.png 156 84
speedPatch.png 270 210
speedPatch.png 330 210
speedPatch.png 390 210
speedPatch.png 450 210
speedPatch.png 510 210
speedPatch.png 510 270
speedPatch.png 510 270
speedPatch.png 510 330
speedPatch.png 510 390
speedPatch.png 450 390
speedPatch.png 390 390
speedPatch.png 330 390
speedPatch.png 270 390
speedPatch.png 270 330
speedPatch.png 270 270
HealingBeacon.png 328 264
HealingBeacon.png 360 264
HealingBeacon.png 408 264
HealingBeacon.png 440 264
HealingBeacon.png 376 264
HealingBeacon.png 392 296
HealingBeacon.png 360 312
HealingBeacon.png 328 296
HealingBeacon.png 360 296
HealingBeacon.png 328 312
HealingBeacon.png 328 344
HealingBeacon.png 328 328
HealingBeacon.png 328 280
HealingBeacon.png 360 280
HealingBeacon.png 376 280
HealingBeacon.png 376 296
HealingBeacon.png 376 312
HealingBeacon.png 360 328
HealingBeacon.png 360 344
HealingBeacon.png 376 344
HealingBeacon.png 376 328
HealingBeacon.png 392 344
HealingBeacon.png 392 328
HealingBeacon.png 392 312
HealingBeacon.png 392 280
HealingBeacon.png 392 264
HealingBeacon.png 408 280
HealingBeacon.png 408 296
HealingBeacon.png 408 312
HealingBeacon.png 408 328
HealingBeacon.png 408 344
HealingBeacon.png 440 280
HealingBeacon.png 440 296
HealingBeacon.png 440 312
HealingBeacon.png 440 328
HealingBeacon.png 440 344
HealingBeacon.png 440 248
HealingBeacon.png 408 248
HealingBeacon.png 392 248
HealingBeacon.png 376 248
HealingBeacon.png 360 248
HealingBeacon.png 328 248
