50 0
TNT.png 84 108
TNT.png 108 108
TNT.png 132 108
TNT.png 36 156
TNT.png 60 156
TNT.png 84 156
TNT.png 108 156
TNT.png 132 156
TNT.png 156 156
TNT.png 180 156
TNT.png 84 204
TNT.png 108 204
TNT.png 132 204
TNT.png 156 228
TNT.png 156 252
TNT.png 132 276
TNT.png 108 276
TNT.png 84 276
TNT.png 60 252
TNT.png 60 228
TNT.png 108 300
TNT.png 108 324
TNT.png 84 324
TNT.png 60 324
TNT.png 36 324
TNT.png 132 324
TNT.png 156 324
TNT.png 180 324
TNT.png 228 108
TNT.png 228 132
TNT.png 228 156
TNT.png 228 180
TNT.png 228 204
TNT.png 228 228
TNT.png 228 252
TNT.png 228 276
TNT.png 228 300
TNT.png 228 324
TNT.png 252 204
TNT.png 276 204
TNT.png 324 156
TNT.png 324 180
TNT.png 324 204
TNT.png 324 228
TNT.png 324 252
TNT.png 324 276
TNT.png 324 300
TNT.png 348 324
TNT.png 372 324
TNT.png 396 324
TNT.png 420 300
TNT.png 420 276
TNT.png 420 252
TNT.png 420 228
TNT.png 420 204
TNT.png 420 180
TNT.png 420 156
TNT.png 420 132
TNT.png 396 108
TNT.png 372 108
TNT.png 348 108
TNT.png 324 132
TNT.png 492 108
TNT.png 492 132
TNT.png 492 156
TNT.png 492 180
TNT.png 492 204
TNT.png 492 228
TNT.png 492 252
TNT.png 492 276
TNT.png 492 300
TNT.png 492 324
TNT.png 588 108
TNT.png 612 108
TNT.png 636 108
TNT.png 588 108
TNT.png 564 108
TNT.png 540 108
TNT.png 540 132
TNT.png 540 156
TNT.png 564 156
TNT.png 588 156
TNT.png 612 156
TNT.png 540 180
TNT.png 540 204
TNT.png 564 204
TNT.png 588 204
TNT.png 612 204
TNT.png 636 204
TNT.png 684 108
TNT.png 684 132
TNT.png 684 156
TNT.png 684 180
TNT.png 684 204
TNT.png 588 252
TNT.png 612 252
TNT.png 636 252
TNT.png 564 252
TNT.png 540 276
TNT.png 540 300
TNT.png 564 324
TNT.png 588 324
TNT.png 612 324
TNT.png 636 324
TNT.png 660 324
TNT.png 684 300
TNT.png 684 276
TNT.png 660 252
P1.png 72 24
P2.png 696 504
P3.png 408 504
P4.png 120 504
