50 41
wall2.png 140 60
wall2.png 140 100
wall2.png 140 140
wall2.png 140 180
wall2.png 140 220
wall2.png 140 260
wall2.png 140 300
wall2.png 140 340
wall2.png 140 380
wall2.png 140 420
wall2.png 140 460
wall2.png 100 460
wall2.png 60 460
wall2.png 20 460
wall2.png 20 420
wall2.png 20 380
wall2.png 220 460
wall2.png 220 420
wall2.png 220 380
wall2.png 220 340
wall2.png 220 300
wall2.png 260 300
wall2.png 300 300
wall2.png 340 300
wall2.png 340 340
wall2.png 340 380
wall2.png 340 420
wall2.png 340 460
wall2.png 300 460
wall2.png 260 460
wall2.png 380 460
wall2.png 420 300
wall2.png 460 340
wall2.png 500 380
wall2.png 540 420
wall2.png 540 460
wall2.png 500 420
wall2.png 460 380
wall2.png 420 340
wall2.png 580 420
wall2.png 580 380
wall2.png 620 380
wall2.png 620 340
wall2.png 660 340
wall2.png 660 300
wall2.png 620 460
wall2.png 620 500
wall2.png 620 540
wall2.png 620 580
wall2.png 660 580
wall2.png 700 580
wall2.png 740 580
wall2.png 740 580
wall2.png 780 580
wall2.png 740 540
wall2.png 740 500
wall2.png 740 460
wall2.png 700 460
wall2.png 660 460
P1.png 264 72
P2.png 456 72
P3.png 648 72
P4.png 264 552
