50 32
P1.png 120 120
P2.png 600 120
P3.png 120 504
P4.png 600 504
TNT.png 588 444
TNT.png 564 444
TNT.png 540 468
TNT.png 540 492
TNT.png 540 516
TNT.png 540 540
TNT.png 564 564
TNT.png 588 564
TNT.png 612 564
TNT.png 636 564
TNT.png 660 564
TNT.png 660 540
TNT.png 660 516
TNT.png 660 492
TNT.png 660 468
TNT.png 660 444
TNT.png 636 444
TNT.png 612 444
TNT.png 540 444
TNT.png 540 564
TNT.png 156 564
TNT.png 156 540
TNT.png 156 516
TNT.png 156 492
TNT.png 156 468
TNT.png 132 468
TNT.png 108 468
TNT.png 84 468
TNT.png 84 492
TNT.png 84 516
TNT.png 84 540
TNT.png 84 540
TNT.png 84 564
TNT.png 108 564
TNT.png 132 564
TNT.png 84 156
TNT.png 108 156
TNT.png 132 156
TNT.png 156 156
TNT.png 156 132
TNT.png 156 108
TNT.png 156 84
TNT.png 132 84
TNT.png 108 84
TNT.png 84 84
TNT.png 84 108
TNT.png 84 132
TNT.png 540 108
TNT.png 540 132
TNT.png 540 156
TNT.png 540 180
TNT.png 564 180
TNT.png 588 180
TNT.png 612 180
TNT.png 636 180
TNT.png 636 180
TNT.png 660 180
TNT.png 660 156
TNT.png 660 132
TNT.png 660 108
TNT.png 660 84
TNT.png 660 60
TNT.png 636 60
TNT.png 612 60
TNT.png 588 60
TNT.png 564 60
TNT.png 540 60
TNT.png 540 84
