50 56
HealingBeacon.png 152 40
HealingBeacon.png 152 56
HealingBeacon.png 152 72
HealingBeacon.png 152 88
HealingBeacon.png 152 104
HealingBeacon.png 152 120
HealingBeacon.png 152 136
HealingBeacon.png 152 152
HealingBeacon.png 152 168
HealingBeacon.png 168 40
HealingBeacon.png 184 40
HealingBeacon.png 200 40
HealingBeacon.png 216 40
HealingBeacon.png 232 40
HealingBeacon.png 232 56
HealingBeacon.png 232 72
HealingBeacon.png 232 88
HealingBeacon.png 232 104
HealingBeacon.png 216 104
HealingBeacon.png 200 104
HealingBeacon.png 184 104
HealingBeacon.png 168 104
HealingBeacon.png 168 120
HealingBeacon.png 184 136
HealingBeacon.png 200 152
HealingBeacon.png 216 152
HealingBeacon.png 216 168
HealingBeacon.png 232 168
HealingBeacon.png 200 136
HealingBeacon.png 184 120
HealingBeacon.png 280 120
HealingBeacon.png 280 136
HealingBeacon.png 280 168
HealingBeacon.png 280 152
HealingBeacon.png 296 168
HealingBeacon.png 312 168
HealingBeacon.png 328 168
HealingBeacon.png 344 168
HealingBeacon.png 344 152
HealingBeacon.png 344 136
HealingBeacon.png 344 120
HealingBeacon.png 328 120
HealingBeacon.png 312 120
HealingBeacon.png 296 120
HealingBeacon.png 376 56
HealingBeacon.png 376 72
HealingBeacon.png 376 88
HealingBeacon.png 376 104
HealingBeacon.png 376 120
HealingBeacon.png 376 136
HealingBeacon.png 376 152
HealingBeacon.png 376 168
HealingBeacon.png 392 120
HealingBeacon.png 408 120
HealingBeacon.png 424 120
HealingBeacon.png 424 136
HealingBeacon.png 424 152
HealingBeacon.png 424 168
HealingBeacon.png 456 104
HealingBeacon.png 456 120
HealingBeacon.png 456 136
HealingBeacon.png 456 152
HealingBeacon.png 456 168
HealingBeacon.png 456 72
HealingBeacon.png 488 88
HealingBeacon.png 504 88
HealingBeacon.png 520 88
HealingBeacon.png 536 88
HealingBeacon.png 552 88
HealingBeacon.png 520 104
HealingBeacon.png 520 120
HealingBeacon.png 520 136
HealingBeacon.png 520 152
HealingBeacon.png 520 152
HealingBeacon.png 520 168
HealingBeacon.png 136 296
HealingBeacon.png 136 312
HealingBeacon.png 136 328
HealingBeacon.png 136 344
HealingBeacon.png 136 360
HealingBeacon.png 136 376
HealingBeacon.png 152 296
HealingBeacon.png 168 296
HealingBeacon.png 184 296
HealingBeacon.png 184 312
HealingBeacon.png 184 328
HealingBeacon.png 152 344
HealingBeacon.png 168 360
HealingBeacon.png 184 376
HealingBeacon.png 152 344
HealingBeacon.png 168 328
HealingBeacon.png 152 328
HealingBeacon.png 232 344
HealingBeacon.png 232 360
HealingBeacon.png 232 376
HealingBeacon.png 248 376
HealingBeacon.png 264 376
HealingBeacon.png 264 360
HealingBeacon.png 264 344
HealingBeacon.png 280 392
P1.png 24 72
P2.png 744 552
HealingBeacon.png 328 296
HealingBeacon.png 328 312
HealingBeacon.png 328 328
HealingBeacon.png 328 344
HealingBeacon.png 328 360
HealingBeacon.png 328 376
HealingBeacon.png 392 344
HealingBeacon.png 408 344
HealingBeacon.png 424 344
HealingBeacon.png 424 328
HealingBeacon.png 424 312
HealingBeacon.png 408 312
HealingBeacon.png 392 312
HealingBeacon.png 376 312
HealingBeacon.png 376 328
HealingBeacon.png 376 344
HealingBeacon.png 376 360
HealingBeacon.png 376 376
HealingBeacon.png 392 376
HealingBeacon.png 408 376
HealingBeacon.png 424 376
HealingBeacon.png 520 312
HealingBeacon.png 504 312
HealingBeacon.png 488 312
HealingBeacon.png 472 312
HealingBeacon.png 472 328
HealingBeacon.png 472 344
HealingBeacon.png 488 344
HealingBeacon.png 504 344
HealingBeacon.png 520 344
HealingBeacon.png 520 360
HealingBeacon.png 520 376
HealingBeacon.png 504 376
HealingBeacon.png 488 376
HealingBeacon.png 472 376
HealingBeacon.png 584 376
HealingBeacon.png 584 360
HealingBeacon.png 584 328
HealingBeacon.png 584 312
HealingBeacon.png 584 280
HealingBeacon.png 584 280
HealingBeacon.png 584 296
HealingBeacon.png 584 264
HealingBeacon.png 584 248
