50 66
HealingBeacon.png 56 200
HealingBeacon.png 72 184
HealingBeacon.png 88 168
HealingBeacon.png 104 152
HealingBeacon.png 120 136
HealingBeacon.png 136 120
HealingBeacon.png 152 104
HealingBeacon.png 168 88
HealingBeacon.png 184 104
HealingBeacon.png 200 120
HealingBeacon.png 216 136
HealingBeacon.png 232 152
HealingBeacon.png 248 168
HealingBeacon.png 264 184
HealingBeacon.png 280 200
HealingBeacon.png 168 216
HealingBeacon.png 168 232
HealingBeacon.png 168 248
HealingBeacon.png 152 248
HealingBeacon.png 136 248
HealingBeacon.png 120 248
HealingBeacon.png 104 248
HealingBeacon.png 88 248
HealingBeacon.png 72 248
HealingBeacon.png 184 248
HealingBeacon.png 200 248
HealingBeacon.png 216 248
HealingBeacon.png 232 248
HealingBeacon.png 248 248
HealingBeacon.png 264 248
HealingBeacon.png 168 200
HealingBeacon.png 376 88
HealingBeacon.png 376 104
HealingBeacon.png 376 120
HealingBeacon.png 376 136
HealingBeacon.png 376 168
HealingBeacon.png 376 152
HealingBeacon.png 168 184
HealingBeacon.png 376 184
HealingBeacon.png 376 200
HealingBeacon.png 376 216
HealingBeacon.png 376 232
HealingBeacon.png 376 248
HealingBeacon.png 392 248
HealingBeacon.png 408 248
HealingBeacon.png 440 248
HealingBeacon.png 424 248
HealingBeacon.png 456 248
HealingBeacon.png 472 248
HealingBeacon.png 488 248
HealingBeacon.png 504 248
HealingBeacon.png 456 200
HealingBeacon.png 472 200
HealingBeacon.png 488 200
HealingBeacon.png 504 200
HealingBeacon.png 520 200
HealingBeacon.png 536 200
HealingBeacon.png 536 200
HealingBeacon.png 536 216
HealingBeacon.png 536 232
HealingBeacon.png 536 248
HealingBeacon.png 536 264
HealingBeacon.png 536 280
HealingBeacon.png 536 184
HealingBeacon.png 536 168
HealingBeacon.png 536 152
HealingBeacon.png 536 136
HealingBeacon.png 536 120
HealingBeacon.png 536 104
HealingBeacon.png 536 88
HealingBeacon.png 520 136
HealingBeacon.png 520 136
HealingBeacon.png 504 136
HealingBeacon.png 488 136
HealingBeacon.png 472 136
HealingBeacon.png 456 136
HealingBeacon.png 56 552
HealingBeacon.png 56 536
HealingBeacon.png 72 536
HealingBeacon.png 72 520
HealingBeacon.png 88 520
HealingBeacon.png 88 504
HealingBeacon.png 104 504
HealingBeacon.png 104 488
HealingBeacon.png 120 488
HealingBeacon.png 120 472
HealingBeacon.png 136 472
HealingBeacon.png 136 456
HealingBeacon.png 152 472
HealingBeacon.png 152 488
HealingBeacon.png 168 488
HealingBeacon.png 168 504
HealingBeacon.png 184 504
HealingBeacon.png 184 520
HealingBeacon.png 200 520
HealingBeacon.png 200 536
HealingBeacon.png 216 536
HealingBeacon.png 216 552
HealingBeacon.png 120 456
HealingBeacon.png 152 456
HealingBeacon.png 136 440
HealingBeacon.png 136 408
HealingBeacon.png 136 424
HealingBeacon.png 136 392
HealingBeacon.png 136 376
HealingBeacon.png 136 360
HealingBeacon.png 120 440
HealingBeacon.png 120 424
HealingBeacon.png 120 408
HealingBeacon.png 120 392
HealingBeacon.png 120 360
HealingBeacon.png 120 376
HealingBeacon.png 152 360
HealingBeacon.png 152 376
HealingBeacon.png 152 392
HealingBeacon.png 152 408
HealingBeacon.png 152 424
HealingBeacon.png 152 440
HealingBeacon.png 264 344
HealingBeacon.png 264 360
HealingBeacon.png 152 344
HealingBeacon.png 136 344
HealingBeacon.png 120 344
HealingBeacon.png 264 376
HealingBeacon.png 264 392
HealingBeacon.png 264 408
HealingBeacon.png 264 424
HealingBeacon.png 264 440
HealingBeacon.png 264 456
HealingBeacon.png 264 472
HealingBeacon.png 264 504
HealingBeacon.png 264 488
HealingBeacon.png 264 520
HealingBeacon.png 264 552
HealingBeacon.png 264 536
HealingBeacon.png 408 376
HealingBeacon.png 392 376
HealingBeacon.png 376 376
HealingBeacon.png 360 376
HealingBeacon.png 344 392
HealingBeacon.png 344 408
HealingBeacon.png 344 424
HealingBeacon.png 344 440
HealingBeacon.png 344 456
HealingBeacon.png 344 472
HealingBeacon.png 344 488
HealingBeacon.png 344 504
HealingBeacon.png 360 520
HealingBeacon.png 376 520
HealingBeacon.png 392 520
HealingBeacon.png 408 520
HealingBeacon.png 456 328
HealingBeacon.png 456 344
HealingBeacon.png 456 360
HealingBeacon.png 456 376
HealingBeacon.png 456 408
HealingBeacon.png 456 392
HealingBeacon.png 456 424
HealingBeacon.png 456 440
HealingBeacon.png 456 456
HealingBeacon.png 456 472
HealingBeacon.png 456 488
HealingBeacon.png 456 504
HealingBeacon.png 456 520
HealingBeacon.png 456 536
HealingBeacon.png 456 552
HealingBeacon.png 472 408
HealingBeacon.png 488 408
HealingBeacon.png 504 408
HealingBeacon.png 520 408
HealingBeacon.png 520 392
HealingBeacon.png 520 376
HealingBeacon.png 520 360
HealingBeacon.png 520 344
HealingBeacon.png 520 328
HealingBeacon.png 520 424
HealingBeacon.png 520 440
HealingBeacon.png 520 456
HealingBeacon.png 520 472
HealingBeacon.png 520 488
HealingBeacon.png 520 504
HealingBeacon.png 520 520
HealingBeacon.png 520 536
HealingBeacon.png 520 552
P2.png 744 504
P3.png 600 504
P4.png 648 408
P1.png 72 24
