50 70
P1.png 168 168
HealingBeacon.png 232 104
HealingBeacon.png 232 136
HealingBeacon.png 232 168
HealingBeacon.png 232 200
HealingBeacon.png 232 232
HealingBeacon.png 184 232
HealingBeacon.png 136 232
HealingBeacon.png 104 232
HealingBeacon.png 72 232
HealingBeacon.png 40 232
HealingBeacon.png 232 88
HealingBeacon.png 232 56
HealingBeacon.png 232 40
HealingBeacon.png 232 24
HealingBeacon.png 232 72
HealingBeacon.png 232 120
HealingBeacon.png 232 152
HealingBeacon.png 232 184
HealingBeacon.png 232 216
HealingBeacon.png 216 232
HealingBeacon.png 200 232
HealingBeacon.png 168 232
HealingBeacon.png 136 232
HealingBeacon.png 152 232
HealingBeacon.png 120 232
HealingBeacon.png 88 232
HealingBeacon.png 56 232
HealingBeacon.png 24 232
HealingBeacon.png 8 232
HealingBeacon.png 232 8
P2.png 696 24
P3.png 696 504
P4.png 168 456
