10 54
P1.png 120 456
P2.png 120 72
P3.png 648 72
P4.png 648 456
speedPatch.png 210 90
speedPatch.png 150 150
speedPatch.png 210 150
speedPatch.png 150 390
speedPatch.png 210 390
speedPatch.png 210 450
speedPatch.png 570 450
speedPatch.png 570 390
speedPatch.png 630 390
speedPatch.png 630 150
speedPatch.png 570 150
speedPatch.png 570 90
mud.png 690 150
mud.png 690 210
mud.png 570 30
mud.png 510 30
mud.png 690 90
mud.png 690 30
mud.png 630 30
mud.png 510 510
mud.png 570 510
mud.png 630 510
mud.png 690 510
mud.png 690 450
mud.png 690 390
mud.png 690 330
mud.png 210 510
mud.png 150 510
mud.png 90 510
mud.png 90 450
mud.png 90 390
mud.png 270 510
mud.png 90 330
mud.png 90 210
mud.png 90 150
mud.png 90 90
mud.png 90 30
mud.png 150 30
mud.png 210 30
mud.png 270 30
Indestructible.png 460 460
Indestructible.png 460 500
Indestructible.png 460 540
Indestructible.png 460 580
Indestructible.png 780 300
Indestructible.png 780 260
Indestructible.png 740 260
Indestructible.png 700 260
Indestructible.png 660 260
Indestructible.png 740 300
Indestructible.png 700 300
Indestructible.png 660 300
Indestructible.png 460 20
Indestructible.png 460 60
Indestructible.png 460 100
Indestructible.png 460 140
Indestructible.png 300 580
Indestructible.png 300 540
Indestructible.png 300 500
Indestructible.png 300 460
Indestructible.png 20 300
Indestructible.png 60 300
Indestructible.png 100 300
Indestructible.png 140 300
Indestructible.png 20 260
Indestructible.png 100 260
Indestructible.png 60 260
Indestructible.png 140 260
Indestructible.png 340 20
Indestructible.png 300 20
Indestructible.png 300 60
Indestructible.png 300 100
Indestructible.png 300 140
Indestructible.png 420 20
Indestructible.png 340 580
Indestructible.png 420 580
TNT.png 372 252
TNT.png 396 252
TNT.png 396 276
TNT.png 372 276
TNT.png 372 300
TNT.png 396 300
TreeStump.png 390 190
TreeStump.png 290 270
TreeStump.png 390 350
TreeStump.png 470 270
