50 66
wall2.png 220 100
wall2.png 220 140
wall2.png 220 180
wall2.png 220 220
wall2.png 220 260
wall2.png 220 300
wall2.png 220 340
wall2.png 220 380
wall2.png 220 420
wall2.png 580 100
wall2.png 580 140
wall2.png 580 180
wall2.png 580 220
wall2.png 580 260
wall2.png 580 300
wall2.png 580 340
wall2.png 580 380
wall2.png 580 420
Indestructible.png 180 60
Indestructible.png 60 60
Indestructible.png 180 460
Indestructible.png 60 460
Indestructible.png 620 460
Indestructible.png 740 460
Indestructible.png 620 60
Indestructible.png 700 60
Indestructible.png 340 180
Indestructible.png 460 180
Indestructible.png 460 300
Indestructible.png 340 300
Indestructible.png 340 420
Indestructible.png 460 420
Indestructible.png 340 60
Indestructible.png 460 60
P1.png 120 552
P2.png 120 24
P3.png 648 24
P4.png 696 504
